Tweet,HS_Gender
banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,1
bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,1
cowok gantle gantle nama banci,1
kali gue gemar korea pop omong teman teman gue idol gue banci homo,1
bajing homo hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator,1
transgender anjing uniform resource locator,1
anak pecun hobi zina haha,1
nya menteri suha o homo,1
bicara mulut sepe i banci beli kaca lihat bro,1
tunggu komando imam bejat cabul tai bir bawa ulama dasar banj sempak,1
kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi,1
sinyal kontol pelihara niat sih login twitter doang susah open redtube setan,1
kayak jablay grand theft auto jemput pakai mobil,1
ih banci selotipan,1
ahok verbal keras lampias lari lelaki lunak,1
sih bejat cabul kecut sih onta iya,1
yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek cebong iq ratus otak,1
langsung tag ainya berani ya bera i banci,1
kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1
banci kampung heeee,1
perjaka jual sok sok an booking tante idiot anjir,1
umat islam maksud front bela islam hati muslim nista islam bajing muslim onar kecut lari mesum islam islam gilir mesum islam onar islam,1
kontol iya hapus,1
bencong bacot cewek kayak banci amen kasih duit bacot mending cakap jelek kayak suram mentioned gue langsung kutip twit,1
perek sih doll ya,1
ajak muslim cari muhammad enak enak cocok cocok penis bangsa susah,1
eh dungu mention mention gue puter alun gue forward berita analisa kelompok manusia homo cerdas wkwk wkwk wkwk,1
homo sial bajing goblok gian amput anjing tepi jalan moga terima balas nya,1
alah kontol,1
nih ya gue cowok burung cewek cewek nada nada transgender indonesia nyanyi uniform resource locator,1
pecun kelas teri nih uniform resource locator,1
hormat lacur pakde iblis betina kerja sebar hoaks nista sih hidup,1
jijik manusia homo,1
kayak kontol,1
kno gue bilang bencong hati makan duit perintah sah ganti dasar pancasila negara khilafah bencong nama,1
