Tweet,HS
cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego,1
kaum cebong kafir lihat dongok dungu haha,1
ya bani taplak kawan kawan,1
gue jari gue ukur nyali bacot,1
banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,1
aktor huru hara 98 prabowo si lengser perintah jokowi nyata,1
bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,1
lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,1
cowok gantle gantle nama banci,1
sih kerja delay mulu setan,1
partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,1
nenek nenek heran cebong bohong,1
islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,1
pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,1
al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1
anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,1
didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila,1
ahok the best abai kaum kampret otak micin,1
sih otak tempurung laden lawan dungu makan hehe,1
awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu,1
pinokio umur 3 2019 ganti presiden,1
benci umat islam,1
provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,1
wkwk bani lowo,1
kali gue gemar korea pop omong teman teman gue idol gue banci homo,1
lengser jokowi bangsat,1
bajing homo hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator,1
iya cocot,1
x bicara bangkai,1
nikmat bijak usul partai komunis indonesia iya,1
umpama orang cina usir paksa indonesia,1
cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1
proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1
kitab suci agama bilang om dadak kalap,1
eh kasar kampang,1
cebong bang,1
transgender anjing uniform resource locator,1
gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1
salah target ahok agenda utama lengser jokowi,1
kena tagar panas banget 2019 ganti presiden,1
prabowo kalah bantu jokowi citra ratap pilu,1
