Tweet,HS_Religion
kaum cebong kafir lihat dongok dungu haha,1
lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,1
islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,1
al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1
benci umat islam,1
gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1
kroasia kafir tau ajar kafir lupa kapling sorga,1
moga tindak lapor hadap nista agama adek armando laku langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat perhaps,1
fitnah sila ban apollinaris darmawan al alquran kitab sampah,1
rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,1
kafir kristen ulah,1
mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,1
kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,1
bubar hati amp front bela islam uniform resource locator,1
muslim hina iblis betina nista syariat,1
baby kafir buddha teroris myanmar,1
kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1
buddha bunuh muslim myanmar,1
yahudi bangkai jerman ibadah,1
nama agama munafik,1
henti konsumen wisata haji rumah tipu produsen wisata jiarah indonesia,1
azan televisi panggil manggil allah subhanahu wa taala dungu biadab henti acara catut nama tuhan,1
hebat bicara cinta pegang alquran pegang hidup alquran bicara cinta perang bunuh penggal,1
rev 1 pilih ulama kafir munafik,1
haha orang gila bicara cak micin biar otak encer cong omong ngawur muslim muslim silit tau babi,1
umat islam maksud front bela islam hati muslim nista islam bajing muslim onar kecut lari mesum islam islam gilir mesum islam onar islam,1
nih akun hasil bodoh kaum 212 bikin kaum kaum biar jokowi anti islam wkwk,1
kafir haram pimpin monyet,1
balas usir buddha ajar etnis muslim rohingya singkir data sensus duduk myanmar,1
ustaz partai adil sejahtera yudi widiana tilap duit bahasa agama juz amp liqo felix kwetiau amp alumni 212 diam amp pura pura budek gilir bu,1
allah subhanahu wa taala sembah dungu biadab ya,1
dungu islam alquran ajar amoral ansor agama islam posisi moral,1
tolol aji agama islam sp i orang aji orang,1
cina kafir bangsat dasar komunis,1
ajak muslim cari muhammad enak enak cocok cocok penis bangsa susah,1
asa walubi umat buddha indonesia usir bantai,1
berkat salat aji berkat ajar ilmu kembang kafir lukman,1
cina non muslim bantai sih cina usir,1
orang tau islam belaga bunyi pidato jokowi sesuai ayat qur an allah ubah nasib kaum kecuali ubah ganti presiden rakyat ganti tuhan ganti rakyat,1
